dia,valor_total_dia,valor_total_semana,valor_total_mes,media_valor_dia,media_valor_semana,media_valor_mes,mediana_valor_dia,mediana_valor_semana,mediana_valor_mes,desvio_padrao,total_transacoes,volume_total_transicionado
2023-01-01,"10.704,20","142.661,05","405.678,55","428,17","15.851,23","13.086,40","421,59","15.416,66","11.936,89","385,06",25,"10.704,20"
2023-01-02,"12.228,29","142.661,05","405.678,55","407,61","15.851,23","13.086,40","207,33","15.416,66","11.936,89","451,92",30,"12.228,29"
2023-01-03,"17.689,71","142.661,05","405.678,55","707,59","15.851,23","13.086,40","224,37","15.416,66","11.936,89","1.074,31",25,"17.689,71"
2023-01-04,"14.166,75","142.661,05","405.678,55","505,96","15.851,23","13.086,40","324,65","15.416,66","11.936,89","456,45",28,"14.166,75"
2023-01-05,"18.540,52","142.661,05","405.678,55","529,73","15.851,23","13.086,40","409,18","15.416,66","11.936,89","541,76",35,"18.540,52"
2023-01-06,"12.610,57","142.661,05","405.678,55","450,38","15.851,23","13.086,40","276,02","15.416,66","11.936,89","449,16",28,"12.610,57"
2023-01-07,"24.301,96","142.661,05","405.678,55","639,53","15.851,23","13.086,40","525,29","15.416,66","11.936,89","609,38",38,"24.301,96"
2023-01-08,"10.155,20","80.649,60","405.678,55","406,21","11.521,37","13.086,40","266,81","10.155,20","11.936,89","456,33",25,"10.155,20"
2023-01-09,"10.621,43","80.649,60","405.678,55","442,56","11.521,37","13.086,40","321,6","10.155,20","11.936,89","394,16",24,"10.621,43"
2023-01-10,"14.234,33","80.649,60","405.678,55","431,34","11.521,37","13.086,40","306,95","10.155,20","11.936,89","422,82",33,"14.234,33"
2023-01-11,"5.913,95","80.649,60","405.678,55","295,7","11.521,37","13.086,40","170,15","10.155,20","11.936,89","342,14",20,"5.913,95"
2023-01-12,"9.759,06","80.649,60","405.678,55","406,63","11.521,37","13.086,40","299,62","10.155,20","11.936,89","423,8",24,"9.759,06"
2023-01-13,"8.008,28","80.649,60","405.678,55","348,19","11.521,37","13.086,40","325,07","10.155,20","11.936,89","329,45",23,"8.008,28"
2023-01-14,"21.957,35","80.649,60","405.678,55","645,8","11.521,37","13.086,40","584,77","10.155,20","11.936,89","509,71",34,"21.957,35"
2023-01-15,"16.031,90","95.368,78","405.678,55","421,89","13.624,11","13.086,40","338,88","12.837,94","11.936,89","386,78",38,"16.031,90"
2023-01-16,"12.418,66","95.368,78","405.678,55","496,75","13.624,11","13.086,40","328,27","12.837,94","11.936,89","534,73",25,"12.418,66"
