valor_transacao,data,hora,tipo_transacao,origem,destino
"R$ 2,196.96",out_2023,17,pessoal,Cuiabá,Palmas
"R$ 3,614.49",mar_2023,11,empresarial,São Luís,Aracaju
"R$ 16,028.22",abr_2023,10,pessoal,Rio de Janeiro,Curitiba
"R$ 7,281.00",jul_2023,18,pessoal,Fortaleza,Teresina
"R$ 11,751.17",mar_2023,14,pessoal,São Paulo,Belo Horizonte
"R$ 5,059.13",jun_2023,7,pessoal,Aracaju,Porto Velho
"R$ 4,723.11",jan_2023,10,pessoal,Cuiabá,Campo Grande
"R$ 2,317.79",fev_2023,14,pessoal,Rio de Janeiro,São Luís
"R$ 49,664.72",abr_2023,18,empresarial,João Pessoa,Manaus
"R$ 22,913.28",fev_2023,16,empresarial,Salvador,João Pessoa
"R$ 81,652.33",out_2023,23,empresarial,Cuiabá,Florianópolis
"R$ 26,910.25",mar_2023,7,empresarial,Natal,Cuiabá
"R$ 99,045.31",out_2023,12,empresarial,Boa Vista,Belém
"R$ 19,023.54",mai_2023,9,pessoal,Curitiba,Rio de Janeiro
"R$ 18,559.29",mai_2023,10,empresarial,São Luís,Vitória
"R$ 14,403.41",abr_2023,1,pessoal,Recife,Macapá
"R$ 92,780.85",jun_2023,4,empresarial,São Luís,São Paulo
"R$ 41,314.66",nov_2023,12,empresarial,Cuiabá,Belo Horizonte
"R$ 9,553.07",mar_2023,22,pessoal,Palmas,Florianópolis
"R$ 24,840.96",abr_2023,7,empresarial,Porto Alegre,Campo Grande
"R$ 11,965.40",abr_2023,10,pessoal,Aracaju,Teresina
"R$ 11,814.79",mai_2023,15,pessoal,João Pessoa,Brasília
"R$ 19,570.19",jan_2023,3,pessoal,Brasília,Natal
"R$ 89,940.36",jan_2023,8,empresarial,Porto Velho,Macapá
"R$ 76,506.33",fev_2023,5,empresarial,Recife,Brasília
"R$ 15,191.27",jan_2023,11,pessoal,São Paulo,Vitória
"R$ 16,757.81",abr_2023,8,pessoal,Curitiba,Florianópolis
"R$ 53,359.98",mai_2023,2,empresarial,Goiânia,São Luís
"R$ 9,069.75",jun_2023,21,pessoal,Vitória,Boa Vista
"R$ 10,017.47",jan_2023,10,pessoal,Belém,Rio de Janeiro
"R$ 4,352.82",dez_2023,15,empresarial,Palmas,Vitória
"R$ 66,604.25",jan_2023,2,empresarial,Boa Vista,Salvador
"R$ 13,178.29",jun_2023,13,pessoal,Maceió,Cuiabá
"R$ 7,396.14",set_2023,0,empresarial,Salvador,Macapá
"R$ 67,759.77",mai_2023,10,empresarial,Fortaleza,Brasília
"R$ 1,024.53",set_2023,19,pessoal,São Paulo,Porto Velho
"R$ 48,074.34",abr_2023,9,empresarial,Palmas,Teresina
"R$ 53,029.72",mai_2023,3,empresarial,Recife,Boa Vista
"R$ 95,810.05",jan_2023,20,empresarial,Brasília,Porto Velho
"R$ 82,822.51",abr_2023,20,empresarial,São Paulo,Teresina
"R$ 42,958.94",dez_2023,21,empresarial,Boa Vista,Recife
"R$ 6,987.06",dez_2023,18,pessoal,Campo Grande,Goiânia
"R$ 85,449.50",jun_2023,17,empresarial,Maceió,Goiânia
"R$ 9,079.81",nov_2023,21,empresarial,Belo Horizonte,Belém
"R$ 69,380.49",mar_2023,21,empresarial,Belém,Porto Alegre
"R$ 24,497.51",ago_2023,16,empresarial,Brasília,Rio de Janeiro
"R$ 7,503.99",set_2023,4,pessoal,Macapá,Vitória
"R$ 75,132.48",out_2023,3,empresarial,Teresina,Recife
"R$ 28,409.12",jan_2023,16,empresarial,Belém,Teresina
"R$ 15,783.29",dez_2023,17,pessoal,Palmas,Florianópolis
"R$ 5,880.48",jan_2023,22,empresarial,Salvador,Curitiba
"R$ 11,300.79",jan_2023,3,pessoal,Manaus,Rio Branco
"R$ 4,121.32",jun_2023,1,pessoal,João Pessoa,Cuiabá
"R$ 3,835.70",jul_2023,16,pessoal,Vitória,Brasília
"R$ 47,087.85",mar_2023,1,empresarial,Rio Branco,Porto Alegre
"R$ 67,040.43",jun_2023,7,empresarial,Aracaju,Maceió
"R$ 98,931.99",out_2023,6,empresarial,Recife,Salvador
"R$ 90,186.24",fev_2023,2,empresarial,Goiânia,Rio Branco
"R$ 10,775.43",mar_2023,1,pessoal,Brasília,Fortaleza
"R$ 58,247.49",fev_2023,8,empresarial,Rio de Janeiro,Porto Alegre
"R$ 30,855.26",out_2023,7,empresarial,Campo Grande,Aracaju
"R$ 19,933.94",jan_2023,11,pessoal,Campo Grande,Recife
"R$ 70,664.17",mar_2023,14,empresarial,São Paulo,Boa Vista
"R$ 3,865.48",fev_2023,22,pessoal,Salvador,Aracaju
"R$ 10,917.57",set_2023,12,pessoal,Goiânia,Campo Grande
"R$ 87,890.31",set_2023,7,empresarial,Aracaju,Teresina
"R$ 15,242.44",set_2023,9,pessoal,Maceió,Aracaju
"R$ 11,093.64",jan_2023,4,pessoal,Campo Grande,Maceió
"R$ 2,611.25",set_2023,6,pessoal,Macapá,Vitória
"R$ 16,337.56",out_2023,14,pessoal,Boa Vista,João Pessoa
"R$ 18,798.71",mar_2023,9,pessoal,Cuiabá,Manaus
"R$ 81,526.67",abr_2023,3,empresarial,Macapá,Belém
"R$ 7,315.81",nov_2023,7,pessoal,Porto Alegre,Vitória
"R$ 1,368.70",ago_2023,16,pessoal,Aracaju,São Paulo
"R$ 17,078.55",set_2023,7,empresarial,Fortaleza,João Pessoa
"R$ 95,913.56",jul_2023,13,empresarial,Macapá,Belo Horizonte
"R$ 9,945.27",ago_2023,20,empresarial,João Pessoa,Aracaju
"R$ 12,677.95",dez_2023,13,pessoal,Maceió,Palmas
"R$ 92,827.07",jan_2023,2,empresarial,Florianópolis,João Pessoa
"R$ 37,491.91",fev_2023,17,empresarial,Recife,Vitória
"R$ 19,164.30",jul_2023,20,pessoal,São Luís,Recife
"R$ 9,698.11",set_2023,20,pessoal,Rio de Janeiro,Florianópolis
"R$ 42,279.56",mai_2023,5,empresarial,Curitiba,Macapá
"R$ 3,142.93",fev_2023,11,pessoal,Rio de Janeiro,Belo Horizonte
"R$ 50,958.11",jun_2023,12,empresarial,Vitória,Salvador
"R$ 15,255.78",dez_2023,4,pessoal,Aracaju,Cuiabá
"R$ 19,087.62",jun_2023,3,empresarial,São Luís,Palmas
"R$ 52,946.88",dez_2023,1,empresarial,Vitória,Rio de Janeiro
"R$ 3,434.62",dez_2023,21,empresarial,Maceió,Belém
"R$ 16,072.57",mai_2023,23,pessoal,Goiânia,Florianópolis
"R$ 1,167.45",jun_2023,22,pessoal,Boa Vista,São Luís
"R$ 12,378.14",jul_2023,21,pessoal,Vitória,Manaus
"R$ 15,882.03",nov_2023,9,pessoal,Rio de Janeiro,Boa Vista
"R$ 71,419.07",jan_2023,3,empresarial,Porto Velho,Maceió
"R$ 16,647.81",nov_2023,15,pessoal,Goiânia,Boa Vista
"R$ 38,449.94",fev_2023,6,empresarial,Rio de Janeiro,Porto Alegre
"R$ 35,356.05",set_2023,5,empresarial,Salvador,Boa Vista
"R$ 2,208.28",ago_2023,4,pessoal,Goiânia,Manaus
"R$ 10,908.29",mar_2023,2,pessoal,São Luís,Florianópolis
"R$ 3,326.67",abr_2023,20,pessoal,Vitória,Natal
"R$ 14,629.68",jul_2023,20,pessoal,Goiânia,Florianópolis
"R$ 5,999.38",abr_2023,17,pessoal,Cuiabá,Teresina
"R$ 17,350.38",nov_2023,17,empresarial,Natal,João Pessoa
"R$ 3,533.33",set_2023,2,empresarial,Curitiba,Salvador
"R$ 11,745.90",jul_2023,1,empresarial,Aracaju,Boa Vista
"R$ 15,276.53",ago_2023,23,empresarial,Belém,Manaus
"R$ 61,662.81",jun_2023,5,empresarial,Cuiabá,Brasília
"R$ 51,614.53",set_2023,4,empresarial,Curitiba,São Paulo
"R$ 31,779.71",nov_2023,7,empresarial,Curitiba,Brasília
"R$ 11,746.78",nov_2023,0,empresarial,Aracaju,Campo Grande
"R$ 20,175.81",dez_2023,8,empresarial,Goiânia,Recife
"R$ 8,767.33",nov_2023,22,empresarial,Salvador,Aracaju
"R$ 6,085.55",fev_2023,4,pessoal,Porto Velho,Boa Vista
"R$ 18,707.71",dez_2023,1,empresarial,Macapá,Florianópolis
"R$ 6,741.48",jan_2023,16,pessoal,São Luís,Curitiba
"R$ 13,241.47",nov_2023,20,empresarial,Brasília,São Luís
"R$ 62,012.33",mar_2023,7,empresarial,Fortaleza,Boa Vista
"R$ 11,178.79",nov_2023,1,empresarial,São Paulo,Palmas
"R$ 4,023.40",jun_2023,20,pessoal,Fortaleza,Cuiabá
"R$ 11,110.86",fev_2023,1,empresarial,Florianópolis,Salvador
"R$ 5,764.89",abr_2023,3,pessoal,Porto Alegre,Aracaju
"R$ 73,584.41",abr_2023,16,empresarial,Aracaju,Fortaleza
"R$ 25,944.38",mar_2023,20,empresarial,Maceió,João Pessoa
"R$ 14,528.10",jan_2023,1,pessoal,Palmas,Belo Horizonte
"R$ 8,687.83",fev_2023,4,empresarial,Salvador,Belém
"R$ 7,229.49",jan_2023,5,pessoal,Goiânia,Salvador
"R$ 35,362.42",jul_2023,22,empresarial,Florianópolis,Campo Grande
"R$ 56,802.52",fev_2023,15,empresarial,Salvador,Natal
"R$ 6,371.94",abr_2023,12,pessoal,Goiânia,Fortaleza
"R$ 18,262.81",set_2023,4,empresarial,Aracaju,Palmas
"R$ 92,986.80",out_2023,7,empresarial,Teresina,Goiânia
"R$ 47,612.56",jun_2023,17,empresarial,Recife,Palmas
"R$ 99,438.35",jul_2023,14,empresarial,Natal,João Pessoa
"R$ 6,024.15",jul_2023,9,pessoal,Cuiabá,Curitiba
"R$ 12,081.76",jan_2023,13,pessoal,São Paulo,Natal
"R$ 4,232.85",jan_2023,7,pessoal,Belém,Fortaleza
"R$ 89,087.83",out_2023,14,empresarial,Maceió,Brasília
"R$ 32,714.12",jul_2023,21,empresarial,João Pessoa,Rio de Janeiro
"R$ 14,004.27",set_2023,1,pessoal,Porto Velho,João Pessoa
"R$ 21,993.49",mai_2023,2,empresarial,Fortaleza,Belém
"R$ 18,876.19",out_2023,18,pessoal,Rio de Janeiro,Natal
"R$ 41,416.69",jul_2023,0,empresarial,João Pessoa,Manaus
"R$ 5,135.34",set_2023,7,empresarial,João Pessoa,Teresina
"R$ 85,658.30",dez_2023,9,empresarial,Rio de Janeiro,São Luís
"R$ 42,020.59",mai_2023,16,empresarial,São Luís,Porto Alegre
"R$ 18,860.16",fev_2023,11,pessoal,São Paulo,Rio Branco
"R$ 13,506.53",dez_2023,16,pessoal,Campo Grande,Salvador
"R$ 93,774.86",out_2023,7,empresarial,Recife,Rio Branco
"R$ 22,341.27",nov_2023,15,empresarial,Recife,Rio de Janeiro
"R$ 3,966.12",jun_2023,19,pessoal,Recife,Goiânia
"R$ 14,976.88",ago_2023,2,pessoal,Porto Alegre,Vitória
"R$ 1,109.68",out_2023,23,pessoal,Florianópolis,Palmas
"R$ 49,188.90",jul_2023,21,empresarial,Porto Velho,Goiânia
R$ 531.84,out_2023,12,pessoal,Belo Horizonte,Maceió
"R$ 14,564.78",jan_2023,0,pessoal,Rio Branco,Maceió
"R$ 4,550.78",ago_2023,1,pessoal,Salvador,Boa Vista
"R$ 27,117.13",fev_2023,0,empresarial,Rio de Janeiro,Boa Vista
