dia,valor_total_dia,valor_total_semana,valor_total_mes,media_valor_dia,media_valor_semana,media_valor_mes,mediana_valor_dia,mediana_valor_semana,mediana_valor_mes,desvio_padrao_dia,desvio_padrao_semana,desvio_padrao_mes,total_transacoes_dia,total_transacoes_semana,total_transacoes_mes
2021-01-01,4273189.0,13142328.8,13142328.8,49688.24418604651,51981.93750069792,51981.93750069792,49377.994999999995,52877.04,52877.04,23358.12010652511,3204.253314422295,,86,253,253
2021-01-02,4167921.35,13142328.8,13142328.8,53434.889102564106,51981.93750069792,51981.93750069792,52877.04,52877.04,52877.04,28951.73138869673,3204.253314422295,,78,253,253
2021-01-03,4701218.45,13142328.8,13142328.8,52822.67921348315,51981.93750069792,51981.93750069792,54311.59,52877.04,52877.04,28863.311341822082,3204.253314422295,,89,253,253
2021-01-04,5226185.54,29289647.38,119080707.97,51744.411287128714,51885.41360205507,51513.88277427067,52932.16,52932.16,50340.582500000004,27479.031378837197,1471.0257460508576,449.2269542958833,101,564,2317
2021-01-05,3185740.28,29289647.38,119080707.97,48268.792121212115,51885.41360205507,51513.88277427067,49219.729999999996,52932.16,50340.582500000004,27277.539268076416,1471.0257460508576,449.2269542958833,66,564,2317
2021-01-06,4337759.97,29289647.38,119080707.97,55612.3073076923,51885.41360205507,51513.88277427067,55455.385,52932.16,50340.582500000004,27215.516669887493,1471.0257460508576,449.2269542958833,78,564,2317
2021-01-07,4880163.74,29289647.38,119080707.97,52474.87892473119,51885.41360205507,51513.88277427067,55948.05,52932.16,50340.582500000004,31119.555141547095,1471.0257460508576,449.2269542958833,93,564,2317
2021-01-08,4443517.03,29289647.38,119080707.97,51668.802674418606,51885.41360205507,51513.88277427067,50826.195,52932.16,50340.582500000004,29180.348461237176,1471.0257460508576,449.2269542958833,86,564,2317
2021-01-09,3729828.4899999998,29289647.38,119080707.97,55669.08194029851,51885.41360205507,51513.88277427067,58302.78,52932.16,50340.582500000004,27122.891840272747,1471.0257460508576,449.2269542958833,67,564,2317
2021-01-10,3486452.33,29289647.38,119080707.97,47759.62095890411,51885.41360205507,51513.88277427067,46734.86,52932.16,50340.582500000004,28307.67175724636,1471.0257460508576,449.2269542958833,73,564,2317
2021-01-11,4552540.57,30148887.51,119080707.97,57627.09582278482,51552.90485713718,51513.88277427067,59069.62,48542.740000000005,50340.582500000004,26113.945742373504,876.6186169360282,449.2269542958833,79,591,2317
2021-01-12,3674402.98,30148887.51,119080707.97,47107.73051282051,51552.90485713718,51513.88277427067,42645.979999999996,48542.740000000005,50340.582500000004,27594.653258279584,876.6186169360282,449.2269542958833,78,591,2317
2021-01-13,4435744.65,30148887.51,119080707.97,47188.77287234043,51552.90485713718,51513.88277427067,42413.83,48542.740000000005,50340.582500000004,28522.133931783483,876.6186169360282,449.2269542958833,94,591,2317
2021-01-14,3939406.26,30148887.51,119080707.97,49242.57825,51552.90485713718,51513.88277427067,48542.740000000005,48542.740000000005,50340.582500000004,26842.63707551712,876.6186169360282,449.2269542958833,80,591,2317
2021-01-15,4484256.79,30148887.51,119080707.97,45757.722346938775,51552.90485713718,51513.88277427067,45364.58,48542.740000000005,50340.582500000004,28593.15661111862,876.6186169360282,449.2269542958833,98,591,2317
2021-01-16,4934629.13,30148887.51,119080707.97,51402.386770833335,51552.90485713718,51513.88277427067,48984.455,48542.740000000005,50340.582500000004,27424.82455149347,876.6186169360282,449.2269542958833,96,591,2317
2021-01-17,4127907.13,30148887.51,119080707.97,62544.047424242424,51552.90485713718,51513.88277427067,68494.505,48542.740000000005,50340.582500000004,27442.608447521805,876.6186169360282,449.2269542958833,66,591,2317
2021-01-18,4171426.23,30481368.08,119080707.97,49659.83607142857,51620.920454763764,51513.88277427067,47667.47,50909.87,50340.582500000004,27226.691898660018,567.989290330123,449.2269542958833,84,590,2317
2021-01-19,4363649.01,30481368.08,119080707.97,52574.08445783132,51620.920454763764,51513.88277427067,55374.46,50909.87,50340.582500000004,27287.175231677626,567.989290330123,449.2269542958833,83,590,2317
2021-01-20,4425587.79,30481368.08,119080707.97,56020.09860759494,51620.920454763764,51513.88277427067,56296.44,50909.87,50340.582500000004,26870.18706027664,567.989290330123,449.2269542958833,79,590,2317
2021-01-21,3722216.36,30481368.08,119080707.97,48340.472207792205,51620.920454763764,51513.88277427067,42570.42,50909.87,50340.582500000004,27920.273712298702,567.989290330123,449.2269542958833,77,590,2317
2021-01-22,4608381.03,30481368.08,119080707.97,50641.549780219786,51620.920454763764,51513.88277427067,50909.87,50909.87,50340.582500000004,28321.87853970703,567.989290330123,449.2269542958833,91,590,2317
