dia,valor_total_dia,valor_total_semana,valor_total_mes,media_valor_dia,media_valor_semana,media_valor_mes,mediana_valor_dia,mediana_valor_semana,mediana_valor_mes,desvio_padrao_dia,desvio_padrao_semana,desvio_padrao_mes,total_transacoes_dia,total_transacoes_semana,total_transacoes_mes
2021-01-01,334922.31,928881.01,928881.01,1572.4052112676056,1531.851403375962,1531.851403375962,1586.61,1586.61,1586.61,837.7834568988426,23.039043266860105,,213,606,606
2021-01-02,296740.49,928881.01,928881.01,1529.5901546391751,1531.851403375962,1531.851403375962,1607.525,1586.61,1586.61,880.0068044417079,23.039043266860105,,194,606,606
2021-01-03,297218.21,928881.01,928881.01,1493.5588442211056,1531.851403375962,1531.851403375962,1539.99,1586.61,1586.61,842.917513962438,23.039043266860105,,199,606,606
2021-01-04,292329.18,1916011.61,7978549.0600000005,1624.051,1541.7107499448935,1516.4710753305108,1742.955,1588.9,1501.45,804.0551942380057,39.652396699336755,7.694375623294378,180,1243,5264
2021-01-05,282244.33,1916011.61,7978549.0600000005,1533.9365760869566,1541.7107499448935,1516.4710753305108,1578.185,1588.9,1501.45,809.3851521649278,39.652396699336755,7.694375623294378,184,1243,5264
2021-01-06,268001.02,1916011.61,7978549.0600000005,1549.1388439306359,1541.7107499448935,1516.4710753305108,1698.27,1588.9,1501.45,879.7470536941514,39.652396699336755,7.694375623294378,173,1243,5264
2021-01-07,234437.5,1916011.61,7978549.0600000005,1532.2712418300653,1541.7107499448935,1516.4710753305108,1528.29,1588.9,1501.45,878.3311380593492,39.652396699336755,7.694375623294378,153,1243,5264
2021-01-08,289545.06,1916011.61,7978549.0600000005,1573.6144565217392,1541.7107499448935,1516.4710753305108,1626.505,1588.9,1501.45,816.3600173010624,39.652396699336755,7.694375623294378,184,1243,5264
2021-01-09,273841.33,1916011.61,7978549.0600000005,1512.9355248618785,1541.7107499448935,1516.4710753305108,1588.9,1588.9,1501.45,856.6093510926122,39.652396699336755,7.694375623294378,181,1243,5264
2021-01-10,275613.19,1916011.61,7978549.0600000005,1466.0276063829788,1541.7107499448935,1516.4710753305108,1466.755,1588.9,1501.45,903.0226098845415,39.652396699336755,7.694375623294378,188,1243,5264
2021-01-11,286561.82,2091030.71,7978549.0600000005,1447.2819191919193,1513.3904491505855,1516.4710753305108,1355.955,1511.13,1501.45,909.8932221095881,29.590692942532886,7.694375623294378,198,1381,5264
2021-01-12,287235.3,2091030.71,7978549.0600000005,1450.6833333333332,1513.3904491505855,1516.4710753305108,1371.215,1511.13,1501.45,831.6757274218968,29.590692942532886,7.694375623294378,198,1381,5264
2021-01-13,283180.55,2091030.71,7978549.0600000005,1467.2567357512953,1513.3904491505855,1516.4710753305108,1556.62,1511.13,1501.45,886.1354262724284,29.590692942532886,7.694375623294378,193,1381,5264
2021-01-14,338682.29,2091030.71,7978549.0600000005,1612.7728095238094,1513.3904491505855,1516.4710753305108,1643.73,1511.13,1501.45,862.8284200495365,29.590692942532886,7.694375623294378,210,1381,5264
2021-01-15,284324.97000000003,2091030.71,7978549.0600000005,1536.8917297297298,1513.3904491505855,1516.4710753305108,1615.48,1511.13,1501.45,835.3514204436412,29.590692942532886,7.694375623294378,185,1381,5264
2021-01-16,335005.83,2091030.71,7978549.0600000005,1536.7239908256881,1513.3904491505855,1516.4710753305108,1497.87,1511.13,1501.45,868.4588615102115,29.590692942532886,7.694375623294378,218,1381,5264
2021-01-17,276039.95,2091030.71,7978549.0600000005,1542.122625698324,1513.3904491505855,1516.4710753305108,1511.13,1511.13,1501.45,896.0533174071313,29.590692942532886,7.694375623294378,179,1381,5264
2021-01-18,282291.63,2017221.86,7978549.0600000005,1455.1114948453608,1488.4619147286883,1516.4710753305108,1480.4650000000001,1480.4650000000001,1501.45,786.0967154621928,40.976545860540206,7.694375623294378,194,1356,5264
2021-01-19,276685.21,2017221.86,7978549.0600000005,1471.729840425532,1488.4619147286883,1516.4710753305108,1389.5549999999998,1480.4650000000001,1501.45,901.190258628869,40.976545860540206,7.694375623294378,188,1356,5264
2021-01-20,259085.72,2017221.86,7978549.0600000005,1524.0336470588236,1488.4619147286883,1516.4710753305108,1586.08,1480.4650000000001,1501.45,896.2110255166615,40.976545860540206,7.694375623294378,170,1356,5264
2021-01-21,293361.84,2017221.86,7978549.0600000005,1512.1744329896908,1488.4619147286883,1516.4710753305108,1543.9699999999998,1480.4650000000001,1501.45,895.3961696690283,40.976545860540206,7.694375623294378,194,1356,5264
2021-01-22,291198.49,2017221.86,7978549.0600000005,1501.023144329897,1488.4619147286883,1516.4710753305108,1464.48,1480.4650000000001,1501.45,882.70132645904,40.976545860540206,7.694375623294378,194,1356,5264
2021-01-23,313138.09,2017221.86,7978549.0600000005,1470.1318779342723,1488.4619147286883,1516.4710753305108,1461.93,1480.4650000000001,1501.45,851.8918191054079,40.976545860540206,7.694375623294378,213,1356,5264
2021-01-24,301460.88,2017221.86,7978549.0600000005,1485.0289655172414,1488.4619147286883,1516.4710753305108,1491.87,1480.4650000000001,1501.45,851.914135050258,40.976545860540206,7.694375623294378,203,1356,5264
2021-01-25,256652.02,1954284.88,7978549.0600000005,1417.9669613259668,1522.3211874978756,1516.4710753305108,1427.66,1491.77,1501.45,844.0886250244786,48.29076775814963,7.694375623294378,181,1284,5264
2021-01-26,296936.52999999997,1954284.88,7978549.0600000005,1530.6006701030926,1522.3211874978756,1516.4710753305108,1491.77,1491.77,1501.45,861.6948076510088,48.29076775814963,7.694375623294378,194,1284,5264
2021-01-27,277179.8,1954284.88,7978549.0600000005,1514.6437158469944,1522.3211874978756,1516.4710753305108,1552.25,1491.77,1501.45,881.6627211740861,48.29076775814963,7.694375623294378,183,1284,5264
2021-01-28,267654.08,1954284.88,7978549.0600000005,1454.6417391304349,1522.3211874978756,1516.4710753305108,1435.0149999999999,1491.77,1501.45,907.6075488823434,48.29076775814963,7.694375623294378,184,1284,5264
2021-01-29,311258.49,1954284.88,7978549.0600000005,1629.6256020942408,1522.3211874978756,1516.4710753305108,1660.63,1491.77,1501.45,781.913219021495,48.29076775814963,7.694375623294378,191,1284,5264
2021-01-30,265134.13,1954284.88,7978549.0600000005,1464.8294475138123,1522.3211874978756,1516.4710753305108,1480.21,1491.77,1501.45,891.8976256416701,48.29076775814963,7.694375623294378,181,1284,5264
2021-01-31,279469.83,1954284.88,7978549.0600000005,1643.9401764705883,1522.3211874978756,1516.4710753305108,1752.31,1491.77,1501.45,794.03856181863,48.29076775814963,7.694375623294378,170,1284,5264
2021-02-01,316739.07,2068848.83,8236022.77,1473.204976744186,1497.1249319866185,1519.6826339932268,1421.28,1561.6,1530.6475,893.9793255585116,35.03732549259285,6.4763931417880425,215,1384,5422
2021-02-02,331387.36,2068848.83,8236022.77,1563.147924528302,1497.1249319866185,1519.6826339932268,1610.885,1561.6,1530.6475,909.364792676544,35.03732549259285,6.4763931417880425,212,1384,5422
2021-02-03,285858.36,2068848.83,8236022.77,1354.7789573459715,1497.1249319866185,1519.6826339932268,1355.7,1561.6,1530.6475,850.8575679478591,35.03732549259285,6.4763931417880425,211,1384,5422
2021-02-04,283336.96,2068848.83,8236022.77,1468.0671502590674,1497.1249319866185,1519.6826339932268,1371.53,1561.6,1530.6475,808.0857836022519,35.03732549259285,6.4763931417880425,193,1384,5422
2021-02-05,276676.25,2068848.83,8236022.77,1554.3609550561798,1497.1249319866185,1519.6826339932268,1578.645,1561.6,1530.6475,859.7209784310547,35.03732549259285,6.4763931417880425,178,1384,5422
2021-02-06,301169.85,2068848.83,8236022.77,1528.7809644670049,1497.1249319866185,1519.6826339932268,1561.6,1561.6,1530.6475,889.2349711383898,35.03732549259285,6.4763931417880425,197,1384,5422
2021-02-07,273680.98,2068848.83,8236022.77,1537.5335955056178,1497.1249319866185,1519.6826339932268,1609.05,1561.6,1530.6475,894.5180313237241,35.03732549259285,6.4763931417880425,178,1384,5422
2021-02-08,292210.75,2052150.01,8236022.77,1562.624331550802,1520.0512446054731,1519.6826339932268,1478.29,1478.29,1530.6475,861.0564489363011,19.897819309418715,6.4763931417880425,187,1352,5422
2021-02-09,259535.48,2052150.01,8236022.77,1582.5334146341463,1520.0512446054731,1519.6826339932268,1582.69,1478.29,1530.6475,839.0267728286377,19.897819309418715,6.4763931417880425,164,1352,5422
2021-02-10,308536.42,2052150.01,8236022.77,1550.434271356784,1520.0512446054731,1519.6826339932268,1572.85,1478.29,1530.6475,865.6940779713658,19.897819309418715,6.4763931417880425,199,1352,5422
2021-02-11,305433.31,2052150.01,8236022.77,1550.4228934010152,1520.0512446054731,1519.6826339932268,1517.33,1478.29,1530.6475,892.4417064174668,19.897819309418715,6.4763931417880425,197,1352,5422
2021-02-12,309324.77,2052150.01,8236022.77,1494.3225603864735,1520.0512446054731,1519.6826339932268,1406.07,1478.29,1530.6475,890.3487465287715,19.897819309418715,6.4763931417880425,207,1352,5422
2021-02-13,286601.85,2052150.01,8236022.77,1447.4840909090908,1520.0512446054731,1519.6826339932268,1450.81,1478.29,1530.6475,853.6115623321529,19.897819309418715,6.4763931417880425,198,1352,5422
2021-02-14,290507.43,2052150.01,8236022.77,1452.5371499999999,1520.0512446054731,1519.6826339932268,1413.1999999999998,1478.29,1530.6475,852.3657503980528,19.897819309418715,6.4763931417880425,200,1352,5422
2021-02-15,304418.12,2006076.68,8236022.77,1610.6778835978835,1519.1766814255275,1519.6826339932268,1699.17,1505.835,1530.6475,850.9442301073224,28.362823828680085,6.4763931417880425,189,1318,5422
2021-02-16,268268.13,2006076.68,8236022.77,1559.6984302325582,1519.1766814255275,1519.6826339932268,1621.955,1505.835,1530.6475,848.2839897712321,28.362823828680085,6.4763931417880425,172,1318,5422
2021-02-17,230490.62,2006076.68,8236022.77,1355.8271764705883,1519.1766814255275,1519.6826339932268,1269.775,1505.835,1530.6475,837.4432478676277,28.362823828680085,6.4763931417880425,170,1318,5422
2021-02-18,309254.47,2006076.68,8236022.77,1501.235291262136,1519.1766814255275,1519.6826339932268,1455.695,1505.835,1530.6475,839.7392075270795,28.362823828680085,6.4763931417880425,206,1318,5422
2021-02-19,267368.73,2006076.68,8236022.77,1469.058956043956,1519.1766814255275,1519.6826339932268,1406.845,1505.835,1530.6475,844.0247104094626,28.362823828680085,6.4763931417880425,182,1318,5422
2021-02-20,299163.58,2006076.68,8236022.77,1526.3447959183675,1519.1766814255275,1519.6826339932268,1505.835,1505.835,1530.6475,918.8115197175093,28.362823828680085,6.4763931417880425,196,1318,5422
2021-02-21,327113.03,2006076.68,8236022.77,1611.3942364532022,1519.1766814255275,1519.6826339932268,1734.16,1505.835,1530.6475,849.2235951748903,28.362823828680085,6.4763931417880425,203,1318,5422
2021-02-22,303339.18,2108947.25,8236022.77,1648.5825,1542.3776779552877,1519.6826339932268,1733.47,1555.46,1530.6475,836.7967046165415,31.542118760981882,6.4763931417880425,184,1368,5422
2021-02-23,280966.54,2108947.25,8236022.77,1494.5028723404255,1542.3776779552877,1519.6826339932268,1496.21,1555.46,1530.6475,831.9942689875149,31.542118760981882,6.4763931417880425,188,1368,5422
2021-02-24,305613.1,2108947.25,8236022.77,1520.463184079602,1542.3776779552877,1519.6826339932268,1555.46,1555.46,1530.6475,897.9368756153248,31.542118760981882,6.4763931417880425,201,1368,5422
2021-02-25,296088.81,2108947.25,8236022.77,1510.657193877551,1542.3776779552877,1519.6826339932268,1537.97,1555.46,1530.6475,862.5431399992567,31.542118760981882,6.4763931417880425,196,1368,5422
2021-02-26,315333.88,2108947.25,8236022.77,1538.214048780488,1542.3776779552877,1519.6826339932268,1559.93,1555.46,1530.6475,902.1432520336775,31.542118760981882,6.4763931417880425,205,1368,5422
2021-02-27,306686.8,2108947.25,8236022.77,1548.9232323232322,1542.3776779552877,1519.6826339932268,1549.62,1555.46,1530.6475,864.9445143113023,31.542118760981882,6.4763931417880425,198,1368,5422
2021-02-28,300918.94,2108947.25,8236022.77,1535.3007142857143,1542.3776779552877,1519.6826339932268,1577.31,1555.46,1530.6475,822.5740149844828,31.542118760981882,6.4763931417880425,196,1368,5422
2021-03-01,294266.72,2106986.77,10069605.87,1435.4474146341463,1561.2768992011975,1492.5449007455368,1406.26,1615.31,1490.5,846.7258269500024,24.61221030918952,4.940517774399262,205,1350,6749
2021-03-02,279609.95,2106986.77,10069605.87,1544.8063535911604,1561.2768992011975,1492.5449007455368,1615.31,1615.31,1490.5,873.409511303557,24.61221030918952,4.940517774399262,181,1350,6749
2021-03-03,294009.74,2106986.77,10069605.87,1580.6975268817205,1561.2768992011975,1492.5449007455368,1680.895,1615.31,1490.5,809.0957607984109,24.61221030918952,4.940517774399262,186,1350,6749
2021-03-04,314311.31,2106986.77,10069605.87,1563.7378606965174,1561.2768992011975,1492.5449007455368,1562.85,1615.31,1490.5,861.857642184543,24.61221030918952,4.940517774399262,201,1350,6749
2021-03-05,324896.01,2106986.77,10069605.87,1608.396089108911,1561.2768992011975,1492.5449007455368,1564.175,1615.31,1490.5,815.6735250470855,24.61221030918952,4.940517774399262,202,1350,6749
2021-03-06,320005.06,2106986.77,10069605.87,1649.510618556701,1561.2768992011975,1492.5449007455368,1780.7150000000001,1615.31,1490.5,856.9691398290283,24.61221030918952,4.940517774399262,194,1350,6749
2021-03-07,279887.98,2106986.77,10069605.87,1546.3424309392265,1561.2768992011975,1492.5449007455368,1638.97,1615.31,1490.5,826.7260347725385,24.61221030918952,4.940517774399262,181,1350,6749
2021-03-08,292852.59,1966363.97,10069605.87,1517.370932642487,1461.7705300766097,1492.5449007455368,1410.33,1416.95,1490.5,914.7719480041874,23.911176934554728,4.940517774399262,193,1346,6749
2021-03-09,263081.58,1966363.97,10069605.87,1437.604262295082,1461.7705300766097,1492.5449007455368,1416.95,1416.95,1490.5,839.0309569544421,23.911176934554728,4.940517774399262,183,1346,6749
2021-03-10,294592.29,1966363.97,10069605.87,1437.0355609756095,1461.7705300766097,1492.5449007455368,1504.89,1416.95,1490.5,884.5198538779202,23.911176934554728,4.940517774399262,205,1346,6749
2021-03-11,299917.65,1966363.97,10069605.87,1570.2494764397907,1461.7705300766097,1492.5449007455368,1638.57,1416.95,1490.5,890.9239795927643,23.911176934554728,4.940517774399262,191,1346,6749
2021-03-12,268247.84,1966363.97,10069605.87,1411.8307368421054,1461.7705300766097,1492.5449007455368,1438.795,1416.95,1490.5,864.6968322885338,23.911176934554728,4.940517774399262,190,1346,6749
2021-03-13,288091.8,1966363.97,10069605.87,1391.7478260869564,1461.7705300766097,1492.5449007455368,1310.73,1416.95,1490.5,866.9676496425948,23.911176934554728,4.940517774399262,207,1346,6749
2021-03-14,259580.22,1966363.97,10069605.87,1466.5549152542374,1461.7705300766097,1492.5449007455368,1388.96,1416.95,1490.5,868.4621092791235,23.911176934554728,4.940517774399262,177,1346,6749
2021-03-15,285367.12,1966153.05,10069605.87,1517.9102127659573,1495.7587047257032,1492.5449007455368,1595.375,1539.26,1490.5,883.4657098048705,29.348882966075394,4.940517774399262,188,1316,6749
2021-03-16,268036.52,1966153.05,10069605.87,1540.4397701149426,1495.7587047257032,1492.5449007455368,1541.08,1539.26,1490.5,839.8693942966654,29.348882966075394,4.940517774399262,174,1316,6749
2021-03-17,310644.76,1966153.05,10069605.87,1438.1701851851851,1495.7587047257032,1492.5449007455368,1411.13,1539.26,1490.5,828.408797700672,29.348882966075394,4.940517774399262,216,1316,6749
2021-03-18,291891.72,1966153.05,10069605.87,1466.7925628140702,1495.7587047257032,1492.5449007455368,1406.08,1539.26,1490.5,883.6738516322356,29.348882966075394,4.940517774399262,199,1316,6749
2021-03-19,268692.04,1966153.05,10069605.87,1492.7335555555555,1495.7587047257032,1492.5449007455368,1539.26,1539.26,1490.5,839.0669959904701,29.348882966075394,4.940517774399262,180,1316,6749
