origem,destino,vezes_que_repetiu,ano
da Rocha,Sá,14,2022.0
da Mota,Oliveira,14,
Viana,Peixoto,14,2022.0
Cavalcanti,das Neves,13,2021.0
Sá,Brito,13,
Aparecida,Silveira,13,
Rezende,Campos,13,2022.0
Rezende,Silva,12,2022.0
Camargo,da Conceição,12,
Câmara,Machado,12,2021.0
Moraes,Novais,12,
Leão,Pinto,12,
Camargo,Pinto,12,
Sousa,Correia,12,2022.0
das Neves,da Mata,12,2022.0
Barbosa,Lopes,12,
das Neves,Moura,12,2022.0
da Paz,Campos,12,
Rezende,Cardoso,12,2022.0
da Rosa,Moraes,12,2022.0
Freitas,Nascimento,12,
Araújo,Oliveira,12,2021.0
Carvalho,Viana,11,2021.0
Macedo,Rios,11,2021.0
Machado,Duarte,11,2021.0
da Rosa,Barbosa,11,2022.0
Cirino,Montenegro,11,2021.0
das Neves,Fogaça,11,2022.0
Souza,Montenegro,11,2022.0
Barbosa,Abreu,11,
Casa Grande,Campos,11,2021.0
Pinto,Araújo,11,2022.0
Vasconcelos,Jesus,11,
Martins,Rodrigues,11,
Martins,da Paz,11,
Vasconcelos,Porto,11,2022.0
das Neves,Cavalcanti,11,2022.0
Gomes,Vieira,11,
Novaes,Porto,11,
Leão,Albuquerque,11,
Câmara,Pinto,11,2021.0
Guerra,Souza,11,2021.0
Sá,Rocha,11,
Guerra,das Neves,11,2021.0
Cunha,Nogueira,11,
Dias,Dias,11,2021.0
Pacheco,Campos,11,
Pimenta,Freitas,11,2022.0
Sá,Moreira,11,
Gomes,Fernandes,11,
Pimenta,Casa Grande,11,2022.0
Gonçalves,Gonçalves,11,2021.0
Dias,Pimenta,11,2021.0
Duarte,Aragão,11,
Sales,Siqueira,11,2022.0
Sales,Mendes,11,2022.0
Freitas,Pimenta,11,
Borges,Rezende,11,2021.0
Vasconcelos,Rezende,11,2022.0
Câmara,Monteiro,11,2021.0
Pereira,Pastor,11,
Aparecida,Silva,11,
Freitas,Gonçalves,11,
Aragão,Alves,11,2021.0
Viana,Martins,11,2022.0
Nunes,Vieira,11,2021.0
da Paz,Costa,11,
Mendonça,Sousa,11,2021.0
Cassiano,Moraes,11,
Andrade,Porto,11,
Brito,Pires,11,2021.0
Ribeiro,Cirino,11,2022.0
Monteiro,Nogueira,11,
Moraes,Cavalcante,11,
Rezende,Fernandes,11,2022.0
Abreu,Barbosa,11,2021.0
Pinto,Fonseca,11,2022.0
da Cruz,da Rocha,11,
Aragão,Camargo,11,2021.0
Fonseca,Vasconcelos,11,2021.0
Moreira,Mendes,11,
Moreira,Castro,11,
Souza,Cassiano,11,2022.0
Araújo,Aparecida,11,2021.0
Casa Grande,Pires,11,2021.0
Mendes,Ramos,11,2021.0
Pereira,Mendonça,11,
Rios,Nunes,11,
Aragão,Moura,11,2021.0
Vasconcelos,Vieira,11,2022.0
Pastor,da Mota,11,
Melo,Teixeira,11,
Guerra,Costa,10,2021.0
Pinto,Sousa,10,2022.0
Santos,da Cunha,10,
Novaes,Fogaça,10,
Brito,Pereira,10,2021.0
Siqueira,Pacheco,10,
da Rosa,Dias,10,2022.0
Novaes,Cavalcanti,10,
Fogaça,Câmara,10,2021.0
Gonçalves,Novaes,10,2021.0
Novais,Costa,10,
Novais,Vieira,10,
Novaes,Freitas,10,
Novais,Monteiro,10,
Caldeira,Camargo,10,
Garcia,Montenegro,10,
Silva,da Conceição,10,
Novaes,Sales,10,
Garcia,Ribeiro,10,
Borges,Rocha,10,2021.0
Gomes,Rezende,10,
Novaes,Castro,10,
Garcia,Araújo,10,
Novais,Nogueira,10,
Fonseca,Silveira,10,2021.0
Borges,Monteiro,10,2021.0
Borges,Mendonça,10,2021.0
da Luz,Gomes,10,2022.0
Silva,da Rosa,10,
Silveira,Pacheco,10,
Pinto,Teixeira,10,2022.0
da Mata,Mendes,10,
Guerra,Gonçalves,10,2021.0
Pires,Jesus,10,
Marques,Fogaça,10,
Rocha,da Costa,10,
Rocha,Monteiro,10,
Marques,da Conceição,10,
Moura,Lima,10,2021.0
Melo,Cirino,10,
Melo,Cunha,10,
Andrade,Costela,10,
Aragão,Silveira,10,2021.0
Rios,Aparecida,10,2022.0
Mendonça,Alves,10,2021.0
Mendonça,Dias,10,2021.0
Mendonça,Farias,10,2021.0
Ramos,Silva,10,
Mendonça,Nascimento,10,2021.0
Mendonça,Ramos,10,2021.0
Moraes,Ribeiro,10,
Ribeiro,Leão,10,2022.0
Monteiro,Fogaça,10,
Andrade,Rocha,10,
da Paz,Mendes,10,
Monteiro,Vargas,10,
Rezende,da Costa,10,2022.0
Rezende,Gonçalves,10,2022.0
Rezende,Guerra,10,2022.0
Montenegro,Correia,10,
da Paz,Nogueira,10,
Marques,Duarte,10,
Rodrigues,Costela,10,
Machado,Lima,10,2021.0
Nogueira,Barbosa,10,
Guerra,da Rosa,10,2021.0
Nogueira,Rodrigues,10,
Nogueira,Rocha,10,
Santos,Azevedo,10,2022.0
Alves,Cavalcanti,10,
Barros,Cunha,10,
da Luz,das Neves,10,2022.0
Alves,Câmara,10,
Leão,Caldeira,10,
Nogueira,Cavalcante,10,
Barros,Andrade,10,
Leão,Monteiro,10,
Leão,da Mota,10,
Nascimento,Fonseca,10,2021.0
Lima,Cavalcanti,10,
Barbosa,Pereira,10,
Ferreira,Albuquerque,10,
Barbosa,Fernandes,10,
Lopes,Rocha,10,
da Mata,Moraes,10,
Nascimento,Ribeiro,10,2021.0
Barbosa,Castro,10,
Sales,Azevedo,10,
Sales,Araújo,10,
Nascimento,Machado,10,2021.0
Rodrigues,da Cruz,10,
Pinto,Guerra,10,2022.0
Montenegro,Pires,10,
Pereira,Mendes,10,
Vargas,Almeida,10,
Pereira,Cardoso,10,
Abreu,Fernandes,10,2021.0
da Cruz,Peixoto,10,
Costela,da Cruz,10,
Carvalho,da Rosa,10,2021.0
Cardoso,Viana,10,
Pereira,Ferreira,10,
Cavalcanti,Correia,10,2021.0
Cardoso,Vargas,10,
da Cruz,Lima,10,
Farias,Machado,10,
Casa Grande,das Neves,10,2021.0
Cavalcanti,Pinto,10,2021.0
da Cruz,Ferreira,10,
