data,valor,hora,origem,destino,tipo_transacao
2024-01-01,240.76,00:03:14,Banco A,Banco E,empresarial
2024-01-01,790.51,04:10:48,Banco C,Banco D,empresarial
2024-01-01,457.26,04:37:18,Banco B,Banco C,empresarial
2024-01-01,65.07,06:56:16,Banco B,Banco C,pessoal
2024-01-01,1726.66,09:11:09,Banco B,Banco D,empresarial
2024-01-01,757.05,09:20:26,Banco C,Banco D,pessoal
2024-01-01,28.93,09:45:58,Banco C,Banco E,empresarial
2024-01-01,109.26,09:48:59,Banco C,Banco B,pessoal
2024-01-01,558.15,10:05:34,Banco D,Banco E,empresarial
2024-01-01,275.71,10:35:05,Banco A,Banco B,empresarial
2024-01-01,984.64,10:35:55,Banco C,Banco E,pessoal
2024-01-01,11.37,11:56:37,Banco D,Banco E,empresarial
2024-01-01,199.59,14:25:17,Banco A,Banco C,pessoal
2024-01-01,582.95,14:48:27,Banco E,Banco C,pessoal
2024-01-01,698.21,15:03:40,Banco D,Banco B,pessoal
2024-01-01,121.47,15:13:52,Banco E,Banco A,empresarial
2024-01-01,421.59,16:01:57,Banco C,Banco B,pessoal
2024-01-01,468.54,16:18:24,Banco B,Banco A,pessoal
2024-01-01,458.09,16:39:14,Banco E,Banco A,empresarial
2024-01-01,96.88,17:09:22,Banco B,Banco A,empresarial
2024-01-01,204.54,17:09:54,Banco D,Banco E,empresarial
2024-01-01,633.11,17:13:17,Banco D,Banco B,empresarial
2024-01-01,231.08,17:53:41,Banco B,Banco D,empresarial
2024-01-01,571.34,17:56:59,Banco A,Banco E,empresarial
2024-01-01,11.44,22:15:25,Banco B,Banco C,pessoal
2024-01-02,444.88,01:06:35,Banco B,Banco C,empresarial
2024-01-02,135.35,02:45:38,Banco A,Banco E,empresarial
2024-01-02,430.12,04:03:35,Banco D,Banco E,pessoal
2024-01-02,174.87,05:49:26,Banco B,Banco A,empresarial
2024-01-02,425.07,06:32:57,Banco E,Banco D,empresarial
2024-01-02,366.11,07:42:41,Banco E,Banco A,pessoal
2024-01-02,32.62,07:54:51,Banco D,Banco A,empresarial
2024-01-02,390.75,09:21:56,Banco D,Banco C,empresarial
2024-01-02,120.9,09:26:03,Banco E,Banco A,pessoal
2024-01-02,1470.49,10:50:01,Banco C,Banco D,empresarial
2024-01-02,144.62,10:51:36,Banco A,Banco C,empresarial
2024-01-02,192.38,11:57:42,Banco C,Banco B,pessoal
2024-01-02,1678.39,12:32:35,Banco B,Banco D,empresarial
2024-01-02,239.41,13:43:27,Banco E,Banco A,pessoal
2024-01-02,12.15,13:54:58,Banco A,Banco B,pessoal
2024-01-02,9.01,15:42:23,Banco D,Banco C,empresarial
2024-01-02,71.73,16:25:22,Banco B,Banco A,empresarial
2024-01-02,714.44,16:29:38,Banco E,Banco B,pessoal
2024-01-02,4.12,16:31:07,Banco D,Banco C,empresarial
2024-01-02,205.91,16:33:48,Banco D,Banco E,empresarial
